,short_name,name,age,height_cm,weight_kg,nationality,club,overall,potential,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,body_type,player_tags,team_position,loaned_from,joined,nation_position,pace,shooting,dribbling,defending,physic,gk_diving,gk_handling,gk_kicking,gk_reflexes,gk_speed,gk_positioning,player_traits,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,2017
55,I. Gündoğan,Ilkay Gündogan,26,180,80,Germany,Manchester City,85,87,Right,3,4,4,High/Medium,Normal,"#Dribbler, #Playmaker  ",SUB,,2016-07-01,,71.0,74.0,87.0,64.0,71.0,,,,,,,"Injury Prone, Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",74,72+3,49,88-2,75,87,81,74,83,88,73-4,70-4,83-2,87,81-2,77,62,71-2,74,74,68,79,79+2,87,76,86,57,67+3,64,11,14,5,5,13,34.2
56,M. Pjanić,Miralem Pjanic,27,180,70,Bosnia Herzegovina,Juventus,85,86,Right,3,4,4,Medium/Medium,Normal,"#Dribbler, #Playmaker  , #FK Specialist, #Complete Midfielder",LDM,,2016-07-01,,74.0,71.0,86.0,67.0,69.0,,,,,,,"Finesse Shot, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only), Takes Finesse Free Kicks",80,61-9,60,89,72+1,86,86,91,85,89,74-1,74-1,79,84,79,78-1,61,78-1,65,82-2,68+6,74+4,70-4,88,79,84,62+2,70+6,66+2,7,7,13,7,8,48.64
57,L. Insigne,Lorenzo Insigne,26,163,59,Italy,Napoli,85,86,Right,3,3,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LW,,2010-07-01,LW,90.0,74.0,89.0,25.0,50.0,,,,,,,"Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Takes Finesse Free Kicks",83+1,73+2,56,83+2,74,88,83+5,77+2,73+1,90,94,86,96,80,93,70+2,53-2,75-2,44,80+1,34,26,83,87+2,61,78+6,16,24,22,8,4,14,9,10,42.864
58,B. Matuidi,Blaise Matuidi,30,175,70,France,Juventus,85,85,Left,3,2,2,High/High,Lean,#Engine,SUB,,2017-08-18,SUB,78.0,67.0,75.0,83.0,84.0,,,,,,,"Injury Free, Finesse Shot, Team Player",75,65,73,84,72,73,65,52,79,77,79,78-1,76-1,84,79,74,84+1,94,78,66,85,85,68,75,56,82-3,83,84-1,81,8,11,5,10,14,34.2
59,J. Vertonghen,Jan Vertonghen,30,189,88,Belgium,Tottenham Hotspur,85,85,Left,3,3,2,High/High,Normal,"#Tackling , #Tactician ",LCB,,2012-07-01,LCB,67.0,65.0,70.0,85.0,81.0,,,,,,,Power Free-Kick,68,56-4,81-1,79+1,52,69-1,58,73,74,74,68-1,66,62,82+1,55,86,83+3,79,81,68,83,86+3,60-3,68+3,68,81-1,84+3,86+1,86+5,6,10,9,12,7,30.21
60,A. Di María,Ángel Di María,29,180,75,Argentina,Paris Saint-Germain,85,85,Left,4,2,5,High/Medium,Lean,"#Dribbler, #Acrobat",SUB,,2015-08-06,LM,86.0,77.0,86.0,47.0,68.0,,,,,,,"Diver, Avoids Using Weaker Foot, Flair, Long Shot Taker (CPU AI Only), Chip Shot (CPU AI Only)",85-3,74,53,83,77,86-1,78-5,72,79-3,85-2,86,86,92+2,80,79,83-4,72,78,60-4,77-2,73-3,38,82,81-4,73,82+2,37,59,56,10,7,11,12,11,51.3
61,Jordi Alba,Jordi Alba,28,170,68,Spain,FC Barcelona,85,85,Left,3,3,3,High/Medium,Normal,"#Speedster, #Acrobat",LB,,2012-07-01,LB,93.0,69.0,82.0,81.0,72.0,,,,,,,,82-1,73,63,79,60,80,77,64,70,83-1,93,93,90,82,86,64,81,90,60-6,66,75,83,77,68,59,75,81,84,83,13,15,13,6,13,36.48
62,H. Mkhitaryan,Henrikh Mkhitaryan,28,177,75,Armenia,Manchester United,85,85,Right,3,5,4,High/High,Normal,"#Dribbler, #Engine, #Acrobat",CAM,,2016-07-06,,86.0,79.0,87.0,54.0,70.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Speed Dribbler (CPU AI Only), Playmaker (CPU AI Only), Set Play Specialist",79-1,77,53,84-1,81,87,83,64,72-1,87-2,88,84,89,82-1,85,87,71-1,86+1,63,75,69,64-4,82-1,85,72,79+12,49,53,55,5,11,14,5,7,41.04
63,Marco Asensio,Marco Asensio,21,180,75,Spain,Real Madrid,84,92,Left,3,3,4,Medium/Medium,Normal,,SUB,,2015-01-22,SUB,78.0,82.0,83.0,39.0,61.0,,,,,,,"Long Shot Taker (CPU AI Only), Takes Finesse Free Kicks",79-1,82+7,50,86,75-1,83+1,83-1,76,81,86+1,79-2,77-1,78-1,78,76,84+17,57-1,73-1,61-1,87+9,45,45,72,83,62,82+4,29-1,42-3,39-2,13,9,6,12,10,24.7
64,Bernardo Silva,Bernardo Silva,22,173,64,Portugal,Manchester City,84,91,Left,2,3,4,Medium/Medium,Lean,"#Dribbler, #Acrobat",SUB,,2017-07-01,RM,81.0,72.0,90.0,45.0,61.0,,,,,,,"Avoids Using Weaker Foot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",79+1,76,51,84,66+1,91+4,79+2,63,78-1,89+2,85+3,78+1,88+3,84+1,86+3,72,53,80,54,64,58,49,77-1,85,64,84+2,46,44,35,9,10,14,12,9,37.05
65,D. Alli,Dele Alli,21,188,80,England,Tottenham Hotspur,84,90,Right,3,3,4,High/Medium,Lean,,CAM,,2015-02-02,CAM,76.0,81.0,82.0,64.0,78.0,,,,,,,"Beat Offside Trap, Flair, Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",68,84+3,75+3,83,76+4,83+2,71+4,53,76+2,85+2,77,76,74,85+2,62+3,77+2,69,89+1,71+1,79+3,84,67,86+1,83+1,68+10,86+4,60+3,63+3,57,7,6,9,11,8,55.1
66,M. Icardi,Mauro Icardi,24,181,75,Argentina,Inter,84,89,Right,3,4,3,Medium/Low,Normal,#Poacher,ST,,2013-07-09,SUB,78.0,83.0,75.0,26.0,70.0,,,,,,,"Injury Free, Beat Offside Trap, Selfish, Power Header",46,89,84,73,81,74-1,58,45,54,77-2,75-3,80,74-1,83,76,81,92+2,70-2,74-2,70,55+20,22,89,64,78,82+6,17,21,21,13,9,5,7,9,62.7
67,A. Laporte,Aymeric Laporte,23,189,85,France,Athletic Club de Bilbao,84,89,Left,2,2,2,Medium/Medium,Normal,#Tackling ,LCB,,2012-10-01,,69.0,50.0,61.0,86.0,78.0,,,,,,,,58,45,85,73,40,55,62,77,78,71,68,70-1,49,82,55,70,77,71-2,84,47,72,85,54,52,35,74+6,86,88,85,10,11,5,14,5,28.5
68,E. Bailly,Eric Bailly,23,187,77,Ivory Coast,Manchester United,84,89,Right,2,3,2,Medium/High,Normal,,RCB,,2016-07-01,RCB,78.0,42.0,65.0,84.0,84.0,,,,,,,"Dives Into Tackles (CPU AI Only), Power Header",51+10,33,81+2,72,42+6,63+4,46,43,56-4,68+5,75-6,80-3,63-13,78+1,63-2,55,84-2,78-5,85+1,48,87+1,85,47+3,54+5,46,74,82-1,85,85-2,14,14,10,9,8,31.35
69,Koke,Koke,25,178,74,Spain,Atlético Madrid,84,88,Right,3,4,3,High/High,Normal,#Playmaker  ,RM,,2011-01-01,RM,70.0,75.0,82.0,63.0,75.0,,,,,,,"Long Passer (CPU AI Only), Playmaker (CPU AI Only)",84,71,61,86,56,80,85,76,85,86,72-2,69,77,84,78,84,61,81-1,75,81,71,64,80,89,59,75,63,66,51,14,12,5,10,13,65.55
70,Morata,Álvaro Morata,24,189,85,Spain,Chelsea,84,88,Right,3,4,3,High/High,Normal,,ST,,2017-07-21,SUB,82.0,80.0,80.0,23.0,73.0,,,,,,,"Beat Offside Trap, Speed Dribbler (CPU AI Only)",73,82+1,79+4,78+4,81+1,83+1,76,44,51,84+1,78-2,86,62,81+1,56,80+2,79,70+2,82,78+4,54,24,83,76,72,79+1,14,14,20,4,5,4,4,5,49.4
71,K. Koulibaly,Kalidou Koulibaly,26,195,89,Senegal,Napoli,84,87,Right,3,2,2,High/High,Normal,"#Aerial Threat, #Tackling , #Tactician , #Strength, #Complete Defender",LCB,,2014-07-01,,73.0,26.0,56.0,85.0,86.0,,,,,,,Power Header,30,19,79+1,59+2,14,54,28,28,48,59+2,69,76-2,50-3,80+1,40-8,55,77-1,73-2,93,15,87+1,86+5,24,34,33,78+11,85,87+1,85+1,7,11,7,13,5,38.0
72,J. Draxler,Julian Draxler,23,187,72,Germany,Paris Saint-Germain,84,87,Right,3,5,4,Medium/Low,Lean,#Dribbler,SUB,,2017-01-03,LM,78.0,80.0,86.0,34.0,64.0,,,,,,,"Finesse Shot, Flair, Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",83+5,78+3,65,84+1,84,88+1,78,75+3,77+5,87+2,76-1,79+2,81-1,83+2,75,86+2,76,68-1,67,81,48,36,79,84+4,63,81+3,25,35,26,11,13,5,13,8,38.19
73,Carvajal,Dani Olmo,25,173,73,Spain,Real Madrid,84,87,Right,3,3,2,High/Medium,Stocky,,RB,,2013-07-05,RB,82.0,45.0,79.0,83.0,79.0,,,,,,,,83,41,65,81,34,76,72,47,71,83,76-2,86+1,82,81,79,64,76,84,75,36,81,82,61,57,45,74+5,85,85,86,13,13,15,9,15,1.395
74,S. Mané,Sadio Mané,25,175,69,Senegal,Liverpool,84,87,Right,3,3,4,High/Medium,Normal,"#Speedster, #Dribbler, #Acrobat",LW,,2016-07-01,,93.0,78.0,85.0,36.0,75.0,,,,,,,"Diver, Beat Offside Trap, Flair, Speed Dribbler (CPU AI Only)",72,83+2,53,77+1,68+2,86+1,74,64,71-1,84+1,94,92,89+1,80+2,85,77,75,82-1,72,69+3,73+2,31,84+2,78+1,71,78+2,33,35,38,10,10,15,7,14,48.64
75,Juan Mata,Juan Mata,29,170,63,Spain,Manchester United,84,84,Left,3,3,3,Medium/Medium,Lean,#Playmaker  ,RM,,2014-01-25,,67.0,76.0,84.0,32.0,54.0,,,,,,,"Finesse Shot, Playmaker (CPU AI Only), Takes Finesse Free Kicks",84+1,79-1,59-4,86,71,82-1,84,84,77,87-1,71-4,63,85-4,84-1,89,75,72,75+1,43,70,52,39,83-1,87,81,85,25,28,21,9,10,14,5,8,34.77
76,M. García,Juan Mata,28,188,76,Argentina,Club Atlético Huracán,70,70,Right,1,3,1,Medium/Medium,Lean,,SUB,,2017-07-28,,,,,,,71.0,65.0,64.0,73.0,45.0,67.0,Puncher,17,14,19,23,16,16,13,15,22,15,49,41,52,68+1,55,17,62,42+3,46,14,20,27,19,53+11,20,24,20,17,18,71+2,65+2,64+4,67+1,73+3,34.77
77,Willian,Willian José,28,175,77,Brazil,Chelsea,84,84,Right,3,4,4,High/High,Lean,"#Dribbler, #Engine, #Acrobat",SUB,,2013-08-28,SUB,88.0,76.0,86.0,49.0,64.0,,,,,,,"Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",77+2,77+2,29,82,59,87,82+2,85,77,86,91-1,86,89+2,83+2,81-1,71,46,87+1,62+1,81+1,44,55,80+2,83,70+10,79+5,43,58-4,51,14,12,13,7,13,12.54
78,Willian José,Willian José,25,189,93,Brazil,Real Sociedad,82,86,Right,2,4,3,Medium/Low,Normal,#Strength,ST,,2016-07-31,,67.0,82.0,76.0,37.0,77.0,,,,,,,"Beat Offside Trap, Power Header",54,84+3,84+8,79+4,80+5,79+3,68+5,71,48+2,80+1,65+1,68,60+1,81+1,50-1,83+1,72+16,67+1,87+1,76-2,65,35-5,85+4,63,80,73,29,32-5,30-5,15,14,16,15,8,12.54
79,I. Perišić,Ivan Perisic,28,186,79,Croatia,Inter,84,84,Right,3,5,4,High/Medium,Lean,,LM,,2015-09-01,,84.0,80.0,82.0,42.0,75.0,,,,,,,Speed Dribbler (CPU AI Only),84,79+1,78,78-3,80,83-1,73,76,72-1,83,81-2,87,78,80,67,83,82,86,75-2,80,59,42,84,78,76,80,26,45,45,6,7,10,9,6,38.475
80,Pedro,Rui Patrício,29,169,65,Spain,Chelsea,84,84,Right,3,5,4,High/Medium,Normal,,RW,,2015-08-20,SUB,82.0,77.0,85.0,37.0,62.0,,,,,,,Finesse Shot,78,81,55,83,70,84,81,57,70,87+2,84-2,80,84,84+1,82,71,67,78-2,56,78+5,56,49,84,77+3,66,78+6,30,32,31,5,11,12,15,9,18.24
81,Rui Patrício,Rui Patrício,29,190,84,Portugal,Sporting CP,83,83,Left,3,2,1,Medium/Medium,Normal,,GK,,2006-06-01,GK,,,,,,85.0,81.0,80.0,82.0,55.0,79.0,"Injury Free, Avoids Using Weaker Foot, GK Up for Corners, Team Player",12,12,11,31,17,20,10,16,30,23,53,57,61,80,54,38,79,45,77,11,39,22,13,63,32,53,13,13,11,85,81,80,79,82,18.24
82,Ander Herrera,Ander Herrera,27,182,70,Spain,Manchester United,84,84,Right,3,4,3,High/High,Lean,"#Engine, #Tactician ",SUB,,2014-06-26,,73.0,72.0,83.0,78.0,77.0,,,,,,,"Diver, Dives Into Tackles (CPU AI Only), Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only)",74,71,60,86,69+2,81,80,65,80,86,76-3,70+2,84-1,85,82-2,72,63,87-1,70+3,72,86-1,86+2,78,84-2,79,84+2,80+4,78+2,76+5,9,12,15,9,8,33.06
83,K. Mbappé,Kylian Mbappé,18,178,73,France,Paris Saint-Germain,83,94,Right,3,4,4,High/Medium,Normal,#Dribbler,RW,AS Monaco,,CF,90.0,80.0,85.0,47.0,74.0,,,,,,,"Finesse Shot, Speed Dribbler (CPU AI Only), Technical Dribbler (CPU AI Only)",70,87+7,76+1,78+3,74+7,86+2,75+1,58,68,87+6,89+2,90+2,78,79+4,76,79+3,71,83+7,74,68+4,62,49,79,77,70+5,80+1,41,44,40,13,5,7,11,6,51.3
84,O. Dembélé,Ousmane Dembélé,20,178,67,France,FC Barcelona,83,92,Left,3,5,5,High/Low,Lean,"#Speedster, #Dribbler, #Acrobat",LW,,2017-08-28,RM,91.0,76.0,89.0,33.0,56.0,,,,,,,"Flair, Speed Dribbler (CPU AI Only), Technical Dribbler (CPU AI Only)",77+2,77,43,74,76+6,92+4,78+4,65,68+3,85+3,93,89-2,90+3,82+3,85+7,82+9,59,74+1,47,65,54,36+2,78,84+6,75+5,73+1,29,30+1,33+6,6,6,14,10,13,34.77
85,T. Lemar,Thomas Lemar,21,170,58,France,AS Monaco,83,91,Left,3,2,3,High/Medium,Lean,#Dribbler,LM,,2015-06-27,LM,85.0,78.0,86.0,62.0,70.0,,,,,,,"Technical Dribbler (CPU AI Only), Set Play Specialist",82+4,78+3,54,82+2,75+11,88+5,81+2,81,71,86+5,86+1,84+2,85+2,76,84,82+3,72,79+4,69,76+1,63,66,76,82+3,68,79+2,63,59,63,11,15,13,7,14,28.12
86,T. Partey,Thomas Lemar,24,185,75,Ghana,Atlético Madrid,77,83,Right,1,3,2,High/High,Lean,,SUB,,2012-07-01,,77.0,63.0,75.0,73.0,83.0,,,,,,,Dives Into Tackles (CPU AI Only),58+15,60+6,66,77,53,76+11,62+3,41,73,77+4,75+9,78+6,73+9,74,55,76,82,84,85+1,63,76+2,75,60,69,46,67+18,65,81,76,11,13,9,9,7,28.12
87,A. Belotti,Andrea Belotti,23,181,72,Italy,Torino,83,90,Right,3,5,3,High/High,Normal,,ST,,2015-08-17,RS,82.0,81.0,78.0,29.0,84.0,,,,,,,"Beat Offside Trap, Power Header",42,88+2,84+1,68,80,78+2,64,56,42,78+2,80,83+1,79,78,75,81,83,84,85,67,83,31,85,61,77,78+3,15,23,32,13,7,12,14,7,34.2
88,Marquinhos,Marquinhos,23,183,75,Brazil,Paris Saint-Germain,83,89,Right,3,3,2,Medium/Medium,Lean,,RCB,,2013-07-19,LCB,71.0,38.0,69.0,84.0,76.0,,,,,,,Long Throw-in,72,33,80,80+3,31,65,49,32,78+5,76,69-4,72-2,66-2,81,68,53,85+1,75,74,35,80,84,46,51,31,79+2,85,85,86,6,6,12,10,13,38.19
89,Ederson,Ederson,23,188,86,Brazil,Manchester City,83,89,Left,2,2,1,Medium/Medium,Normal,,GK,,2017-07-01,SUB,,,,,,81.0,76.0,82.0,87.0,63.0,78.0,"Long Passer (CPU AI Only), Rushes Out Of Goal, Comes For Crosses",20,14,14,15,18,21,12,20,30+5,30,64,63+1,60+10,86+1,40,42,58+8,38,68-1,18,35+8,25,16,60,17,58+27,9,15,8,81,76,82,78,87,22.42
90,N. Süle,Niklas Süle,21,195,97,Germany,FC Bayern München,83,89,Right,2,3,2,Medium/Medium,Stocky,"#Aerial Threat, #Strength",SUB,,2017-07-01,SUB,65.0,41.0,49.0,83.0,81.0,,,,,,,Dives Into Tackles (CPU AI Only),30,20,85+5,76+4,29,42,28,30,61+4,63+13,51,76+2,33,80,32-1,77+3,38,65,94,62,81,82-2,26,30,32,72+3,81-1,86,82,15,7,14,7,15,28.5
91,S. de Vrij,Stefan de Vrij,25,189,78,Netherlands,Lazio,83,88,Right,3,4,2,Medium/High,Normal,,RCB,,2014-07-30,RCB,68.0,41.0,65.0,85.0,76.0,,,,,,,Long Passer (CPU AI Only),49,25,78+2,71+1,27,61,45,16,71,71-1,68-1,68-1,61-1,78,60,65,71,69,80+2,60,74-1,85-1,32,50,41,82,87+2,86,82,8,10,7,14,13,31.16
92,S. Umtiti,Samuel Umtiti,23,182,75,France,FC Barcelona,83,88,Left,3,3,2,Medium/High,Normal,,LCB,,2016-07-12,LCB,74.0,64.0,71.0,82.0,79.0,,,,,,,Outside Foot Shot,69,51,72,79,70,69,72,63,73,75,72-2,75,68,77,66,83,87,79-1,78,74,80,86,58,58,61,74+8,80,85,83,15,10,14,12,15,31.54
93,N. Keïta,Naby Keïta,22,172,64,Guinea,RB Leipzig,83,88,Right,2,3,4,High/Medium,Normal,"#Dribbler, #Acrobat",RDM,,2016-07-01,,73.0,71.0,89.0,62.0,70.0,,,,,,,"Flair, Playmaker (CPU AI Only)",62,74+5,42,88+6,59+4,90+5,63,47,78+2,88+4,82,66-6,90,84+2,90,76,56,88-3,59,66,77,79+2,74+4,81,58,79,55,63,61,7,14,15,14,9,38.076
94,Roberto Firmino,Roberto Firmino,25,181,76,Brazil,Liverpool,83,87,Right,3,4,4,High/High,Lean,"#Dribbler, #Engine",ST,,2015-07-06,SUB,77.0,81.0,85.0,46.0,77.0,,,,,,,"Flair, Chip Shot (CPU AI Only), Technical Dribbler (CPU AI Only)",72,83+1,72-1,83,79+1,87,80,67,75-1,85,77-2,77-2,82,82+1,81,79,81,86,76,80+2,66+2,37,84,83,72,78+2,30,59-5,42,8,11,9,6,10,41.61
95,J. Giménez,José Giménez,22,185,76,Uruguay,Atlético Madrid,83,87,Right,2,3,2,Medium/High,Normal,#Tackling ,RCB,,2013-07-01,RCB,70.0,45.0,52.0,85.0,81.0,,,,,,,Dives Into Tackles (CPU AI Only),47,37,79,68,30,47,36,44,58,56,68,72,57,76,50-1,72,90,68-2,84+1,48,89,85,24,27,38,73+13,85,86,87,9,11,7,10,15,31.92
96,Oscar,Oscar,25,179,67,Brazil,Brazil,83,86,Right,3,3,4,Medium/High,Lean,#Acrobat,,,,SUB,74.0,75.0,82.0,43.0,47.0,,,,,,,"Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",70,75,54,83,63,81,77,77,78,84,75,74,86,81,80,76,66,76,36,77,31,34,81,83,68,83,37,50,47,12,10,15,12,12,26.6
97,A. Lopes,Anthony Lopes,26,184,81,Portugal,Olympique Lyonnais,83,86,Left,2,1,1,Medium/Medium,Normal,,GK,,2010-06-11,,,,,,,86.0,81.0,71.0,85.0,62.0,79.0,"Injury Free, Comes For Crosses",19,18,16,32,13,15,15,14,31,21,60,64,65,85,62,20,85,33,65,18,35,25,9,38,16,55,13,15,13,86,81+2,71-6,79+2,85-2,15.96
98,Danilo Pereira,Danilo Pereira,25,188,83,Portugal,FC Porto,83,86,Right,3,3,2,Medium/High,Normal,#Strength,CDM,,2015-07-02,SUB,68.0,62.0,74.0,82.0,87.0,,,,,,,"Injury Free, Leadership",50,56,76-1,82+1,55-1,76-1,48,53,79,77,67,68-1,58,76-1,60,77,67,87-2,89,64,88-1,85,69+1,69,52,84+1,80,85,78,9,7,13,14,15,21.66
99,V. van Dijk,Virgil van Dijk,25,193,92,Netherlands,Southampton,83,86,Right,3,3,2,High/Medium,Normal,#Strength,RCB,,2015-09-01,,73.0,60.0,69.0,83.0,85.0,,,,,,,"Injury Free, Long Passer (CPU AI Only)",53,52-3,80+3,76+2,45,70+1,60,70,76,73,69-5,76,57,79+5,51,81,79-2,76+2,92,64,78+2,83,41,59,62,82-5,83,85,83+1,13,10,13,11,11,31.35
100,William Carvalho,William Carvalho,25,187,83,Portugal,Sporting CP,83,86,Right,3,4,3,Medium/Medium,Normal,#Strength,RCM,,2011-07-01,CDM,53.0,57.0,74.0,80.0,83.0,,,,,,,"Finesse Shot, Long Passer (CPU AI Only), Playmaker (CPU AI Only)",66,56,73,84+1,50-7,79,77+1,50,86,78,52,53,45,74,50-4,59-3,68,84,88,58-4,75,84,62-2,78+1,60,89+2,77,85,71,6,6,5,14,14,30.21
101,E. Forsberg,Emil Forsberg,25,179,78,Sweden,RB Leipzig,83,85,Right,2,4,3,High/Medium,Normal,#Crosser,LAM,,2015-01-07,LM,75.0,74.0,83.0,30.0,66.0,,,,,,,"Flair, Technical Dribbler (CPU AI Only), Backs Into Player",86+16,72+1,45,86+4,67,82,81+5,77+2,70,85+3,78-1,72,85-1,80+2,83-1,75+3,53,76,63,80+5,62,43,77-2,86+3,64,79+1,23,26,17,13,7,9,15,11,21.09
102,K. Walker,Kyle Walker,27,183,83,England,Manchester City,83,84,Right,3,2,2,High/Medium,Normal,,RWB,,2017-07-14,RB,90.0,63.0,76.0,80.0,81.0,,,,,,,"Long Throw-in, Avoids Using Weaker Foot, Speed Dribbler (CPU AI Only)",78-1,51,73-1,75+1,57,77+2,76,71,67,76+1,86-1,93,70,81+4,72-1,86,83,90,77,68,78,78+3,66,69,63,75,79,84+3,83-1,12,6,16,15,8,32.3
103,I. Gueye,Idrissa Gueye,27,174,66,Senegal,Everton,83,84,Right,2,3,2,Medium/High,Lean,#Tackling ,RCM,,2016-08-03,,76.0,60.0,77.0,83.0,81.0,,,,,,,,60,50,69,82+2,32,75,33,43,74-2,79,78-2,75-2,75,79-2,82-1,80,85,88,76,67,84+4,87+2,67,72,54,80,80+2,87+2,85+1,8,6,8,12,13,17.1
104,R. Mahrez,Riyad Mahrez,26,179,67,Algeria,Leicester City,83,84,Left,3,4,5,Medium/Medium,Lean,"#Dribbler, #Acrobat",RM,,2014-01-11,,82.0,74.0,88.0,28.0,55.0,,,,,,,"Diver, Selfish, Finesse Shot, Flair, Long Shot Taker (CPU AI Only), Playmaker (CPU AI Only), Technical Dribbler (CPU AI Only)",81+1,74-3,45,78-2,71,88,79,75,74-2,88-2,85-1,80+1,92,75,85+3,76,62+3,75-2,51-6,72-1,40,38,79-1,79,72,82,25,23-4,19-2,15,9,13,11,6,34.2
105,M. Dembélé,Moussa Dembélé,29,185,88,Belgium,Tottenham Hotspur,83,83,Left,3,2,4,Medium/Medium,Normal,#Strength,LDM,,2012-08-01,SUB,76.0,72.0,85.0,75.0,84.0,,,,,,,"Avoids Using Weaker Foot, Technical Dribbler (CPU AI Only)",65,66,69,86+2,73-4,86,65,55,79,86,75-3,77,82-1,80,74,85,77,77-5,92+2,72,74,80+2,71,79+2,67,89+3,70+2,80,67,16,14,11,16,14,5.7
106,M. Dembélé,Moussa Dembélé,20,183,74,France,Celtic,75,85,Right,1,3,4,Medium/Low,Normal,,SUB,,2016-07-01,,81.0,73.0,74.0,21.0,71.0,,,,,,,"Injury Prone, Backs Into Player",50,77+2,73+6,69+1,67,73,53,35,41,76+1,78+1,83,77+3,68,64+1,75+5,81+1,67+3,80+2,62+2,50+6,22,75+2,62+5,82+5,74,13,14,16,7,13,11,10,8,5.7
107,José Callejón,José Callejón,30,178,73,Spain,Napoli,83,83,Right,3,2,3,High/High,Lean,"#Speedster, #Engine",RW,,2013-07-11,,90.0,78.0,83.0,35.0,65.0,,,,,,,"Injury Free, Beat Offside Trap, Speed Dribbler (CPU AI Only)",77,76,65,75,84,82,65,65,51,84,90+1,90,85,80,81,78,73,92,55-1,80,54,40,88,78,62,79,24,32,32,8,5,14,11,11,27.74
108,S. N'Zonzi,Steven Nzonzi,28,190,75,France,Sevilla FC,83,83,Right,2,3,3,Medium/Medium,Lean,#Strength,CDM,,2015-07-09,,57.0,67.0,71.0,80.0,88.0,,,,,,,Injury Free,59,64,79,82,55,72,73,42,78,82,52-4,61-1,43,82,31,79,75,86,91+1,66,87,85,70,77,57,85,75,83,78,7,16,16,16,13,31.35
109,G. Bonaventura,Giacomo Bonaventura,27,181,75,Italy,Milan,83,83,Right,3,3,3,High/Medium,Lean,,SUB,,2014-09-01,,78.0,77.0,83.0,67.0,73.0,,,,,,,"Long Shot Taker (CPU AI Only), Technical Dribbler (CPU AI Only)",82,70-5,60+2,84+1,78,83-1,78,78,80-1,85+1,78-3,78-3,81+2,82-1,77,84,69,87-1,69,86+1,68+2,72-1,78-1,82+1,68,82,60+2,72-1,68,10,14,7,15,14,26.6
110,N. Otamendi,Nicolás Otamendi,29,183,81,Argentina,Manchester City,83,83,Right,3,3,2,High/High,Normal,,LCB,,2015-08-20,CB,63.0,56.0,54.0,83.0,81.0,,,,,,,"Injury Free, Dives Into Tackles (CPU AI Only), Power Header",52,53,83-2,71,56,41,50,39,66,64,62-6,64-7,69-2,78,62,69,86-4,76-2,80,56,90,85+3,49,45,44,84+9,81+1,83,84,12,5,8,11,12,34.2
111,Iago Aspas,Iago Aspas,29,176,67,Spain,RC Celta,83,83,Left,2,3,3,High/High,Lean,"#Acrobat, #Clinical Finisher",RW,,2015-07-01,SUB,81.0,83.0,85.0,29.0,63.0,,,,,,,"Beat Offside Trap, Finesse Shot, Chip Shot (CPU AI Only)",67,86+2,78,80,86,85,83,76,64,84,84-2,79-1,88,86,77,79,68,70-2,59,80,63,36,85,68,80,73+4,20,21,18,12,16,9,12,13,18.24
112,G. Donnarumma,Gianluigi Donnarumma,18,196,90,Italy,Milan,82,94,Right,3,3,1,Medium/Medium,Normal,,GK,,2015-07-01,SUB,,,,,,88.0,78.0,72.0,88.0,50.0,78.0,"Puncher, Rushes Out Of Goal, Comes For Crosses",12,12,12,34+4,8,24+4,12,14,24,28+2,46,54+4,64+4,74,38,24,72+4,34,72+4,18,30,26,14,50,24,68+4,12,14,16,88+2,78+4,72,78+4,88,32.3
113,L. Sané,Leroy Sané,21,183,75,Germany,Manchester City,82,91,Left,2,3,3,High/Medium,Lean,"#Speedster, #Dribbler",SUB,,2016-08-02,,94.0,77.0,86.0,35.0,70.0,,,,,,,"Avoids Using Weaker Foot, Beat Offside Trap, Flair, Speed Dribbler (CPU AI Only)",76+1,78,72,75,64,87,82,62,64,84,93+1,94+1,89+2,79,82-2,78,66,80,70,77,58,32,82,69+1,63,76,26,32,35,8,12,9,9,14,41.8
